arch,true,pred,n,share_of_errors
resnet50,stop,palm,32,0.181
resnet50,palm,stop,31,0.175
resnet50,two_up,peace,9,0.051
resnet50,peace,two_up,8,0.045
resnet50,three,four,7,0.04
resnet50,three,peace,6,0.034
resnet50,peace,three2,5,0.028
resnet50,palm,four,5,0.028
resnet50,three,three2,5,0.028
resnet50,peace,three,4,0.023
resnet50,peace_inverted,two_up_inverted,4,0.023
resnet50,ok,three,4,0.023
densenet121,palm,stop,27,0.169
densenet121,stop,palm,25,0.156
densenet121,three,peace,8,0.05
densenet121,three,four,6,0.037
densenet121,two_up,peace,6,0.037
densenet121,two_up_inverted,peace_inverted,4,0.025
densenet121,peace,three2,4,0.025
densenet121,peace_inverted,two_up_inverted,4,0.025
densenet121,stop,four,4,0.025
densenet121,peace,two_up,3,0.019
densenet121,stop,stop_inverted,3,0.019
densenet121,three,two_up,3,0.019
