method,arch,sparsity,seed,run,acc,f1_macro,error_rate,n_errors,error_ratio,sparsity_achieved,best_epoch,epochs,gpu_min
depois (treino → poda → fine-tuning 5 ép.),densenet121,50,0,eixo2_prune_densenet121_p50_s0,0.9980983818305765,0.9981154651751836,0.001901618169423469,159,0.9937500000000138,0.5,2,5,17.209333333333333
depois (treino → poda → fine-tuning 5 ép.),densenet121,50,1,eixo2_prune_densenet121_p50_s1,0.9979907430662696,0.9980095989622271,0.002009256933730441,168,1.0059880239521384,0.5,1,5,17.117666666666665
depois (treino → poda → fine-tuning 5 ép.),densenet121,50,2,eixo2_prune_densenet121_p50_s2,0.9981940607321828,0.9982121564208237,0.001805939267817247,151,0.904191616766508,0.5,4,5,16.746666666666666
depois (treino → poda → fine-tuning 5 ép.),densenet121,70,0,eixo2_prune_densenet121_p70_s0,0.9981103416932774,0.9981250246242792,0.001889658306722608,158,0.9874999999999695,0.7,3,5,17.36366666666667
depois (treino → poda → fine-tuning 5 ép.),densenet121,70,1,eixo2_prune_densenet121_p70_s1,0.9979548634781673,0.9979764379441262,0.002045136521832691,171,1.023952095808387,0.7,1,5,17.16416666666667
depois (treino → poda → fine-tuning 5 ép.),densenet121,70,2,eixo2_prune_densenet121_p70_s2,0.9981342614186789,0.9981556616811655,0.001865738581321108,156,0.9341317365269777,0.7,4,5,16.68466666666667
depois (treino → poda → fine-tuning 5 ép.),densenet121,90,0,eixo2_prune_densenet121_p90_s0,0.9980505423797735,0.9980643942060785,0.001949457620226469,163,1.0187499999999587,0.9,4,5,16.732000000000003
depois (treino → poda → fine-tuning 5 ép.),densenet121,90,1,eixo2_prune_densenet121_p90_s1,0.9978711444392618,0.9978899070298439,0.002128855560738163,178,1.0658682634730778,0.9,5,5,17.177500000000002
depois (treino → poda → fine-tuning 5 ép.),densenet121,90,2,eixo2_prune_densenet121_p90_s2,0.9980146627916712,0.9980324787729304,0.00198533720832883,166,0.9940119760479171,0.9,5,5,16.6505
depois (treino → poda → fine-tuning 5 ép.),densenet121,95,0,eixo2_prune_densenet121_p95_s0,0.9976917464987501,0.9977062225172553,0.0023082535012498573,193,1.2062500000000094,0.95,3,5,17.1585
