arch,sparsity,method,n_seeds,err_mean,ratio_mean,ratio_std,errors,gpu_min
densenet121,50,antes (poda ImageNet → treino 30 ép.),1,0.002033176659131941,1.0624999999999782,,170,99.39400000000002
densenet121,50,depois (treino → poda → fine-tuning 5 ép.),3,0.001905604790323719,0.96797654690622,0.05557724617376384,"159, 168, 151",17.024555555555555
densenet121,70,antes (poda ImageNet → treino 30 ép.),1,0.002045136521832691,1.0687499999999646,,171,99.38433333333333
densenet121,70,depois (treino → poda → fine-tuning 5 ép.),3,0.0019335111366254691,0.9818612774451113,0.0451748893678597,"158, 171, 156",17.070833333333336
densenet121,90,antes (poda ImageNet → treino 30 ép.),1,0.002128855560738163,1.112499999999984,,178,100.52066666666666
densenet121,90,depois (treino → poda → fine-tuning 5 ép.),3,0.0020212167964311543,1.026210079840318,0.036504398420604454,"163, 178, 166",16.853333333333335
densenet121,95,antes (poda ImageNet → treino 30 ép.),1,0.0024158922655568293,1.2625000000000015,,202,101.27449999999999
densenet121,95,"controle (treino → poda → 30 ép., LR rewinding)",1,0.0024398119909583293,1.274999999999974,,204,99.2845
densenet121,95,depois (treino → poda → fine-tuning 5 ép.),3,0.002348119710252431,1.1925024950100114,0.049361493033984495,"193, 206, 190",16.968888888888888
densenet121,98,antes (poda ImageNet → treino 30 ép.),1,0.0031454438903041337,1.6437499999999732,,263,99.07366666666665
densenet121,98,"controle (treino → poda → 30 ép., LR rewinding)",2,0.00245775178500951,1.258439371257489,0.10296977865252296,"213, 198",107.15466666666666
densenet121,98,depois (treino → poda → fine-tuning 5 ép.),3,0.003253082654611106,1.6516217564870332,0.04944066726052712,"262, 285, 269",16.790833333333335
resnet50,50,antes (poda ImageNet → treino 30 ép.),1,0.002104935835336663,0.9943502824858882,,176,80.80333333333333
resnet50,50,depois (treino → poda → fine-tuning 5 ép.),3,0.0020092569337304043,0.9697735303905524,0.028836050019788454,"166, 164, 174",13.861944444444445
resnet50,70,antes (poda ImageNet → treino 30 ép.),1,0.0023800126774544683,1.1242937853107229,,199,80.66083333333334
resnet50,70,depois (treino → poda → fine-tuning 5 ép.),3,0.002029190038231654,0.9790845033846116,0.015949121026609205,"175, 163, 171",13.757833333333332
resnet50,90,antes (poda ImageNet → treino 30 ép.),1,0.0022843337758482463,1.0790960451977232,,191,84.7585
resnet50,90,depois (treino → poda → fine-tuning 5 ép.),3,0.0022683872922472093,1.0951437821367254,0.03317537192963189,"190, 187, 192",13.780222222222223
resnet50,95,antes (poda ImageNet → treino 30 ép.),1,0.0024278521282575793,1.1468926553672227,,203,81.718
resnet50,95,"controle (treino → poda → 30 ép., LR rewinding)",2,0.002421872196907149,1.1845403184385983,0.013292300046949089,"208, 197",84.41875
resnet50,95,depois (treino → poda → fine-tuning 5 ép.),3,0.0026511028986720233,1.2803587195512314,0.07053535860208525,"230, 221, 214",13.686777777777777
resnet50,98,antes (poda ImageNet → treino 30 ép.),1,0.0028823269108870786,1.361581920903945,,241,80.89183333333334
resnet50,98,"controle (treino → poda → 30 ép., LR rewinding)",2,0.0022723739131474963,1.1116589625064202,0.022081197892217668,"194, 186",86.63233333333332
resnet50,98,depois (treino → poda → fine-tuning 5 ép.),3,0.0039228349658545865,1.8970162489492004,0.1697360204200141,"323, 345, 316",13.663833333333331
