run,arch,seed,sparsity_target,sparsity_achieved,acc,f1_macro,error_rate,n_errors,baseline_error_rate,error_ratio,params_nonzero,params_total,macs,fp32_bytes,gzip_bytes,baseline_gzip_bytes,best_epoch
eixo2_prune_densenet121_p50_s0,densenet121,0,0.5,0.5,0.9980983818305765,0.9981154651751836,0.001901618169423469,159,0.001913578032124219,0.9937500000000138,3527986,6972306,2864541184,28483729,16282574,26506572,2
eixo2_prune_densenet121_p50_s1,densenet121,1,0.5,0.5,0.9979907430662696,0.9980095989622271,0.002009256933730441,168,0.00199729707102958,1.0059880239521384,3527986,6972306,2864541184,28483729,16273339,26506129,1
eixo2_prune_densenet121_p50_s2,densenet121,2,0.5,0.5,0.9981940607321828,0.9982121564208237,0.001805939267817247,151,0.00199729707102958,0.904191616766508,3527986,6972306,2864541184,28483729,16278597,26503757,4
eixo2_prune_densenet121_p70_s0,densenet121,0,0.7,0.7,0.9981103416932774,0.9981250246242792,0.001889658306722608,158,0.001913578032124219,0.9874999999999695,2150258,6972306,2864541184,28483729,11311487,26506572,3
eixo2_prune_densenet121_p70_s1,densenet121,1,0.7,0.7,0.9979548634781673,0.9979764379441262,0.002045136521832691,171,0.00199729707102958,1.023952095808387,2150258,6972306,2864541184,28483729,11303795,26506129,1
eixo2_prune_densenet121_p70_s2,densenet121,2,0.7,0.7,0.9981342614186789,0.9981556616811655,0.001865738581321108,156,0.00199729707102958,0.9341317365269777,2150258,6972306,2864541184,28483729,11323260,26503757,4
eixo2_prune_densenet121_p90_s0,densenet121,0,0.9,0.9,0.9980505423797735,0.9980643942060785,0.001949457620226469,163,0.001913578032124219,1.0187499999999587,772530,6972306,2864541184,28483729,5940434,26506572,4
eixo2_prune_densenet121_p90_s1,densenet121,1,0.9,0.9,0.9978711444392618,0.9978899070298439,0.002128855560738163,178,0.00199729707102958,1.0658682634730778,772530,6972306,2864541184,28483729,5934828,26506129,5
eixo2_prune_densenet121_p90_s2,densenet121,2,0.9,0.9,0.9980146627916712,0.9980324787729304,0.00198533720832883,166,0.00199729707102958,0.9940119760479171,772530,6972306,2864541184,28483729,5946071,26503757,5
eixo2_prune_densenet121_p95_s0,densenet121,0,0.95,0.95,0.9976917464987501,0.9977062225172553,0.0023082535012498573,193,0.001913578032124219,1.2062500000000094,428098,6972306,2864541184,28483729,4420853,26506572,3
eixo2_prune_densenet121_p95_s1,densenet121,1,0.95,0.95,0.9975362682836401,0.9975506213554264,0.0024637317163599404,206,0.00199729707102958,1.2335329341317862,428098,6972306,2864541184,28483729,4425584,26506129,5
eixo2_prune_densenet121_p95_s2,densenet121,2,0.95,0.95,0.9977276260868525,0.9977469041025366,0.0022723739131474963,190,0.00199729707102958,1.1377245508982385,428098,6972306,2864541184,28483729,4423884,26503757,5
eixo2_prune_densenet121_p98_s0,densenet121,0,0.98,0.979999970966693,0.9968665159723966,0.9968804896929816,0.0031334840276033837,262,0.001913578032124219,1.6374999999999869,221439,6972306,2864541184,28483729,3400840,26506572,5
eixo2_prune_densenet121_p98_s1,densenet121,1,0.98,0.979999970966693,0.9965914391302788,0.9966101936919954,0.003408560869721189,285,0.00199729707102958,1.70658682634733,221439,6972306,2864541184,28483729,3395258,26506129,5
eixo2_prune_densenet121_p98_s2,densenet121,2,0.98,0.979999970966693,0.9967827969334913,0.9967968427571604,0.0032172030665087448,269,0.00199729707102958,1.6107784431137824,221439,6972306,2864541184,28483729,3394568,26503757,5
eixo2_prune_resnet50_p50_s0,resnet50,0,0.5,0.5,0.9980146627916712,0.9980358510889258,0.00198533720832883,166,0.002116895698037413,0.9378531073446124,11799026,23544914,4109501440,94492735,53516180,87794842,5
eixo2_prune_resnet50_p50_s1,resnet50,1,0.5,0.5,0.9980385825170727,0.9980619884138355,0.00196141748292733,164,0.00197337734562808,0.9939393939394072,11799026,23544914,4109501440,94492735,53512581,87794343,2
eixo2_prune_resnet50_p50_s2,resnet50,2,0.5,0.5,0.997918983890065,0.9979379271887695,0.002081016109935052,174,0.002128855560738163,0.9775280898876375,11799026,23544914,4109501440,94492735,53502657,87784906,5
eixo2_prune_resnet50_p70_s0,resnet50,0,0.7,0.6999999914863823,0.9979070240273642,0.9979261764494072,0.002092975972635802,175,0.002116895698037413,0.9887005649717239,7100671,23544914,4109501440,94492735,36527119,87794842,1
eixo2_prune_resnet50_p70_s1,resnet50,1,0.7,0.6999999914863823,0.9980505423797735,0.9980720358722961,0.001949457620226469,163,0.00197337734562808,0.9878787878787583,7100671,23544914,4109501440,94492735,36538441,87794343,4
eixo2_prune_resnet50_p70_s2,resnet50,2,0.7,0.6999999914863823,0.9979548634781673,0.9979705743999021,0.002045136521832691,171,0.002128855560738163,0.9606741573033526,7100671,23544914,4109501440,94492735,36521177,87784906,3
eixo2_prune_resnet50_p90_s0,resnet50,0,0.9,0.8999999829727646,0.9977276260868525,0.9977457240488705,0.0022723739131474963,190,0.002116895698037413,1.0734463276836115,2402316,23544914,4109501440,94492735,18032161,87794842,3
eixo2_prune_resnet50_p90_s1,resnet50,1,0.9,0.8999999829727646,0.9977635056749549,0.9977841224965016,0.0022364943250451352,187,0.00197337734562808,1.133333333333322,2402316,23544914,4109501440,94492735,17954889,87794343,4
eixo2_prune_resnet50_p90_s2,resnet50,2,0.9,0.8999999829727646,0.997703706361451,0.9977215362827911,0.0022962936385489963,192,0.002128855560738163,1.0786516853932426,2402316,23544914,4109501440,94492735,18023649,87784906,3
eixo2_prune_resnet50_p95_s0,resnet50,0,0.95,0.9499999914863823,0.9972492315788215,0.9972683594808937,0.0027507684211784955,230,0.002116895698037413,1.2994350282485574,1227727,23544914,4109501440,94492735,12720469,87794842,4
eixo2_prune_resnet50_p95_s1,resnet50,1,0.95,0.9499999914863823,0.9973568703431285,0.9973732370082617,0.0026431296568715235,221,0.00197337734562808,1.339393939393926,1227727,23544914,4109501440,94492735,12723799,87794343,5
eixo2_prune_resnet50_p95_s2,resnet50,2,0.95,0.9499999914863823,0.997440589382034,0.9974571934668643,0.0025594106179660514,214,0.002128855560738163,1.2022471910112102,1227727,23544914,4109501440,94492735,12687652,87784906,4
eixo2_prune_resnet50_p98_s0,resnet50,0,0.98,0.9799999795673175,0.9961369643476493,0.9961583129990922,0.003863035652350688,323,0.002116895698037413,1.824858757062113,522974,23544914,4109501440,94492735,9230062,87794842,5
eixo2_prune_resnet50_p98_s1,resnet50,1,0.98,0.9799999795673175,0.9958738473682323,0.9958882477417426,0.004126152631767743,345,0.00197337734562808,2.09090909090906,522974,23544914,4109501440,94492735,9211055,87794343,5
eixo2_prune_resnet50_p98_s2,resnet50,2,0.98,0.9799999795673175,0.9962206833865547,0.9962271123503823,0.003779316613445327,316,0.002128855560738163,1.7752808988764273,522974,23544914,4109501440,94492735,9180652,87784906,5
