arch,seed,cell,run,acc,f1_macro,error_rate,n_errors,error_ratio,params_total,params_nonzero,macs,artifact_bytes,lat_cpu_t1_b1,lat_cpu_t16_b1,lat_cpu_t16_b32,lat_gpu_eager_fp32_b1,lat_gpu_eager_fp16_b1,lat_gpu_trt_b1,lat_gpu_trt_b32,lat_gpu_trt_fp16_b1
densenet121,0,baseline,eixo1_densenet121_s0,0.9980864219678758,0.9981020552897264,0.001913578032124219,160,1.0,6972306,6972306,2864541184,28483729,,,,,,,,
densenet121,0,int8-cpu,eixo1_densenet121_s0,0.997488428832837,0.9975077275276885,0.0025115711671630514,210,1.3125000000000073,6972306,6972306,2864541184,8067223,,,,,,,,
densenet121,0,trt-fp32,eixo1_densenet121_s0,0.9980864219678758,0.9981020552897264,0.001913578032124219,160,1.0,6972306,6972306,2864541184,35961260,,,,,,,,
densenet121,0,trt-fp16,eixo1_densenet121_s0,0.9980864219678758,0.9981020552897264,0.001913578032124219,160,1.0,6972306,6972306,2864541184,15630076,,,,,,,,
densenet121,0,trt-int8,eixo1_densenet121_s0,0.9977276260868525,0.9977450325213479,0.0022723739131474963,190,1.1874999999999927,6972306,6972306,2864541184,15216044,,,,,,,,
densenet121,1,baseline,eixo1_densenet121_s1,0.9980027029289704,0.998019595530001,0.00199729707102958,167,1.0,6972306,6972306,2864541184,28483729,,,,,,,,
densenet121,1,int8-cpu,eixo1_densenet121_s1,0.9975721478717424,0.9975904607307644,0.0024278521282575793,203,1.215568862275482,6972306,6972306,2864541184,8067223,,,,,,,,
densenet121,1,trt-fp32,eixo1_densenet121_s1,0.9980027029289704,0.998019595530001,0.00199729707102958,167,1.0,6972306,6972306,2864541184,35961260,,,,,,,,
densenet121,1,trt-fp16,eixo1_densenet121_s1,0.9980146627916712,0.9980311859303472,0.00198533720832883,166,0.9940119760479171,6972306,6972306,2864541184,15720924,,,,,,,,
densenet121,1,trt-int8,eixo1_densenet121_s1,0.9974525492447347,0.9974633350786232,0.0025474507552653014,213,1.2754491017964216,6972306,6972306,2864541184,15207180,,,,,,,,
