run,arch,frac,seed,stage,n_fit,epochs_run,best_epoch,stopped_early,acc,f1_macro,error_rate,n_errors,error_ratio_vs_100
eixo4_resnet50_f005_s0,resnet50,5,0,dense,8782,30,24,False,0.9938885101599033,0.9938984517115996,0.006111489840096684,511,2.887005649717501
eixo4_resnet50_f005_s0,resnet50,5,0,dense+trt-int8,8782,30,24,False,0.9936732326312894,0.9936773573284304,0.0063267673687106285,529,3.0578034682080726
eixo4_resnet50_f005_s1,resnet50,5,1,dense,8782,30,19,False,0.9933144367502661,0.9933318188691452,0.006685563249733906,559,3.2499999999999325
eixo4_resnet50_f005_s1,resnet50,5,1,dense+trt-int8,8782,30,19,False,0.9931469986724553,0.9931689458355719,0.006853001327544739,573,3.3705882352941274
eixo4_resnet50_f005_s2,resnet50,5,2,dense,8782,30,16,False,0.9935655938669824,0.9935681777979943,0.0064344061330176006,538,3.2606060606060514
eixo4_resnet50_f005_s2,resnet50,5,2,dense+trt-int8,8782,30,16,False,0.99337423606377,0.9933791732203736,0.006625763936230045,554,3.4624999999999666
eixo4_resnet50_f010_s0,resnet50,10,0,dense,17561,30,20,False,0.9951801753315872,0.995198075177917,0.004819824668412798,403,2.2768361581920575
eixo4_resnet50_f010_s0,resnet50,10,0,dense+trt-int8,17561,30,20,False,0.9950127372537764,0.9950290153687305,0.004987262746223631,417,2.410404624277412
eixo4_resnet50_f010_s1,resnet50,10,1,dense,17561,30,28,False,0.9953954528602011,0.9954113507404796,0.0046045471397988536,385,2.238372093023214
eixo4_resnet50_f010_s1,resnet50,10,1,dense+trt-int8,17561,30,28,False,0.9952399746450911,0.9952544686668495,0.004760025354908937,398,2.3411764705882545
eixo4_resnet50_f010_s2,resnet50,10,2,dense,17561,30,17,False,0.9950964562926817,0.995104312297491,0.00490354370731827,410,2.4848484848484897
eixo4_resnet50_f010_s2,resnet50,10,2,dense+trt-int8,17561,30,17,False,0.9950486168418786,0.9950586900632814,0.004951383158121381,414,2.5874999999999813
eixo4_resnet50_f025_s0,resnet50,25,0,dense,43898,30,24,False,0.9972253118534199,0.9972420766785337,0.0027746881465801065,232,1.3107344632768334
eixo4_resnet50_f025_s0,resnet50,25,0,dense+trt-int8,43898,30,24,False,0.9971415928145145,0.9971593480703587,0.0028584071854854676,239,1.381502890173376
eixo4_resnet50_f025_s1,resnet50,25,1,dense,43898,30,28,False,0.9969980744621052,0.997014957406174,0.0030019255378948007,251,1.4593023255813504
eixo4_resnet50_f025_s1,resnet50,25,1,dense+trt-int8,43898,30,28,False,0.9969143554231997,0.9969305613420997,0.0030856445768002727,258,1.5176470588235456
eixo4_resnet50_f025_s2,resnet50,25,2,dense,43898,30,28,False,0.9971057132264122,0.99712297798599,0.0028942867735878286,242,1.4666666666666555
eixo4_resnet50_f025_s2,resnet50,25,2,dense+trt-int8,43898,30,28,False,0.9970219941875067,0.9970366312700736,0.0029780058124933007,249,1.556249999999992
eixo4_resnet50_f050_s0,resnet50,50,0,dense,87798,30,22,False,0.997596067597144,0.9976130123472061,0.0024039324028559683,201,1.1355932203389465
eixo4_resnet50_f050_s0,resnet50,50,0,dense+trt-int8,87798,30,22,False,0.9976439070479471,0.997661279972628,0.0023560929520528573,197,1.138728323699385
eixo4_resnet50_f050_s1,resnet50,50,1,dense,87798,30,19,False,0.997010034324806,0.9970215875358824,0.0029899656751940507,250,1.4534883720929912
