arch,stage,frac,n_seeds,n_fit,acc_mean,acc_std,f1_mean,f1_std,err_mean,err_std,err_ratio_mean,err_ratio_std,epochs_mean,best_epoch_mean
resnet50,dense,5,3,8782,0.9935895135923839,0.00028778322546766456,0.993599482792913,0.0002846106051557372,0.006410486407616063,0.0002877832254676946,3.132537236774495,0.2127027087567052,30.0,19.666666666666668
resnet50,dense,10,3,17561,0.99522402816149,0.0001542466851020232,0.9952379127386292,0.00015734810072205567,0.004775971838509974,0.0001542466851020232,2.3333522453545874,0.1326016742463067,30.0,21.666666666666668
resnet50,dense,25,3,43898,0.9971096998473125,0.00011367113909227407,0.9971266706902325,0.00011360465667291938,0.0028903001526875785,0.00011367113909224535,1.4122344851749464,0.08797868613416118,30.0,26.666666666666668
resnet50,dense,50,3,87798,0.99738079006853,0.00032247303081370677,0.9973966515291545,0.0003260917819128781,0.0026192099314699866,0.0003224730308137017,1.2791888136389344,0.16115638983396993,30.0,23.666666666666668
resnet50,dense,75,3,131693,0.9978512113347605,0.00013601331618479586,0.9978688286078685,0.00013485230059224665,0.0021487886652394503,0.00013601331618478047,1.0482855755027438,0.04511276099221456,30.0,28.333333333333332
resnet50,dense,100,3,175591,0.997950876857267,7.20906291287408e-05,0.9979716046484967,7.027528027019024e-05,0.002049123142733015,7.209062912875533e-05,1.0,0.0,30.0,27.666666666666668
resnet50,dense+trt-int8,5,3,8782,0.9933981557891715,0.000263931164899147,0.9934084921281253,0.0002554706642287069,0.006601844210828471,0.00026393116489914573,3.296963901167389,0.21215613977163394,30.0,19.666666666666668
resnet50,dense+trt-int8,10,3,17561,0.995100442913582,0.00012216245038487088,0.9951140580329537,0.00012250104676052916,0.004899557086417983,0.00012216245038485096,2.446360364955216,0.12703712745189705,30.0,21.666666666666668
resnet50,dense+trt-int8,25,3,43898,0.9970259808084071,0.00011367113909230181,0.9970421802275107,0.00011449425729419163,0.0029740191915930136,0.00011367113909230181,1.4851333163323044,0.09179866930559999,30.0,26.666666666666668
resnet50,dense+trt-int8,50,3,87798,0.9973768034476298,0.0003640070876909755,0.9973916460749641,0.0003656165883317804,0.0026231965523702363,0.00036400708769096073,1.3088653235860708,0.17817616996895547,30.0,23.666666666666668
resnet50,dense+trt-int8,75,3,131693,0.9978512113347605,0.00017509391486968516,0.9978699774596733,0.00017492353077404224,0.002148788665239487,0.00017509391486968516,1.0703983905701098,0.04530376653708372,30.0,28.333333333333332
resnet50,dense+trt-int8,100,3,175591,0.99799472968717,8.140910247872018e-05,0.9980149975260063,7.89716941695349e-05,0.002005270312830154,8.140910247872018e-05,1.0,0.0,30.0,27.666666666666668
