label,image_path
call,data/processed/train/call/abb927eb-16d8-4988-9e10-53455791afca.jpg
dislike,data/processed/train/dislike/dcf58a61-0a93-47f7-a4bf-80d5b1a4cbf5.jpg
fist,data/processed/train/fist/6de17a57-2813-42d6-8863-5c9ef173b4ef.jpg
four,data/processed/train/four/18521565-ef3c-4720-8588-77c61eca2e7d.jpg
like,data/processed/train/like/c874dc21-22f5-489b-a798-51f6417ead5d.jpg
mute,data/processed/train/mute/0349266b-dbf5-41fc-89ee-acfe35394539.jpg
ok,data/processed/train/ok/30f4e59f-8ee4-4af8-a26f-bbf6099eed7e.jpg
one,data/processed/train/one/56b2c5be-79d0-4232-b6e7-838f1a3ad43a.jpg
palm,data/processed/train/palm/eaf76b34-c31b-4d91-8db0-ae3fb0a8be51.jpg
peace,data/processed/train/peace/05ec6f78-684c-415a-bcf2-31a094a7e438.jpg
peace_inverted,data/processed/train/peace_inverted/ad1f59bf-c52e-4b99-b84e-2084a5dc7687.jpg
rock,data/processed/train/rock/b68a5fca-b272-4947-89a9-0fba66ebda79.jpg
stop,data/processed/train/stop/fde8310a-6258-4261-afba-e3507b6a73bf.jpg
stop_inverted,data/processed/train/stop_inverted/5935f0f3-3bd3-41f9-89e6-c23e8a10c678.jpg
three,data/processed/train/three/7eebbd62-4318-4091-852e-e661147b4bdc.jpg
three2,data/processed/train/three2/344c9934-9d3b-4922-84db-f7133b2c0f0f.jpg
two_up,data/processed/train/two_up/02d3a34c-cba6-452b-940e-ea79dcbf8413.jpg
two_up_inverted,data/processed/train/two_up_inverted/04ae1d9e-714b-49ba-8f95-a33becbb1e17.jpg
