classe,suporte,precisao,revocacao,f1
stop,4740,0.9926,0.9924,0.9925
palm,4826,0.994,0.9932,0.9936
peace,4830,0.9965,0.9952,0.9959
three,4561,0.9978,0.9961,0.9969
four,4662,0.9972,0.9985,0.9979
two_up,4673,0.9987,0.9976,0.9982
two_up_inverted,4387,0.9979,0.9986,0.9983
one,4746,0.9989,0.9977,0.9983
three2,4322,0.9972,0.9995,0.9984
peace_inverted,4333,0.9982,0.9991,0.9986
stop_inverted,4508,0.9987,0.9984,0.9986
like,4718,0.9994,0.9985,0.9989
rock,4853,0.9988,0.9992,0.999
call,4179,0.9988,0.9995,0.9992
mute,5004,0.9986,0.9998,0.9992
ok,4737,0.9996,0.9992,0.9994
dislike,4774,0.9994,0.9998,0.9996
fist,4760,0.9996,0.9998,0.9997
