label,imgs_test,imgs_train,users_test,users_train,imgs_total,pct_test
call,4179,9582,939,2318,13761,30.37
dislike,4774,11182,1345,3162,15956,29.92
fist,4760,11033,1419,3252,15793,30.14
four,4662,11157,1158,2824,15819,29.47
like,4718,10928,1341,3016,15646,30.15
mute,5004,11276,1547,3482,16280,30.74
ok,4737,10779,1281,2988,15516,30.53
one,4746,11229,1212,2833,15975,29.71
palm,4826,11187,1384,3159,16013,30.14
peace,4830,11116,1448,3209,15946,30.29
peace_inverted,4333,10341,956,2306,14674,29.53
rock,4853,11294,1246,2839,16147,30.06
stop,4740,10847,1378,3094,15587,30.41
stop_inverted,4508,10667,1105,2598,15175,29.71
three,4561,10835,1079,2571,15396,29.62
three2,4322,10402,1026,2506,14724,29.35
two_up,4673,10761,1236,2936,15434,30.28
two_up_inverted,4387,10486,1059,2557,14873,29.5
