epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.246041,0.934578,0.033659,0.990108,0.990086,0.009892,0.018760251503553853,211.51,830.1,1
2,0.032192,0.990643,0.088431,0.976014,0.97565,0.023986,0.0375,199.49,880.2,0
3,0.027643,0.991822,0.022279,0.993337,0.993297,0.006663,0.0373821039354983,200.85,874.2,1
4,0.017014,0.995039,0.019878,0.994413,0.994399,0.005587,0.03702989835340919,200.65,875.1,1
5,0.014265,0.995774,0.026393,0.992927,0.992931,0.007073,0.03644781244328189,201.91,869.6,0
6,0.011514,0.996782,0.022085,0.99344,0.993457,0.00656,0.03564316627317036,202.96,865.1,0
7,0.012472,0.996315,0.02631,0.992363,0.992285,0.007637,0.03462607873553033,203.53,862.7,0
8,0.012037,0.996503,0.046347,0.985188,0.985112,0.014812,0.03340934029627556,201.46,871.6,0
9,0.010933,0.996776,0.019401,0.994413,0.994434,0.005587,0.032008252147247764,202.57,866.8,1
10,0.009907,0.997169,0.019112,0.994157,0.994148,0.005843,0.030440433784851253,196.74,892.4,0
11,0.008477,0.99758,0.01982,0.994721,0.994757,0.005279,0.02872560143466256,196.91,891.7,1
12,0.007028,0.99816,0.01579,0.995746,0.995753,0.004254,0.02688532010845421,196.7,892.6,1
13,0.00721,0.998029,0.017488,0.995336,0.99535,0.004664,0.024942732411659386,196.89,891.8,0
14,0.006251,0.998257,0.014782,0.995797,0.995823,0.004203,0.022922267511680892,197.27,890.1,1
15,0.005919,0.998303,0.015999,0.996156,0.99617,0.003844,0.02084933392693702,196.91,891.7,1
16,0.005619,0.998394,0.017361,0.995233,0.995251,0.004767,0.01875,197.04,891.1,0
17,0.003546,0.999089,0.015824,0.9959,0.995901,0.0041,0.016650666073062977,196.86,891.9,0
18,0.002638,0.999368,0.016024,0.996412,0.996432,0.003588,0.014577732488319105,197.25,890.2,1
19,0.002233,0.999476,0.012149,0.997284,0.997293,0.002716,0.012557267588340623,199.1,881.9,1
20,0.002102,0.999493,0.01364,0.996925,0.996942,0.003075,0.010614679891545785,198.55,884.3,0
21,0.001518,0.999647,0.015156,0.996771,0.996793,0.003229,0.008774398565337441,200.9,874.0,0
22,0.001483,0.999573,0.013105,0.997027,0.997049,0.002973,0.007059566215148747,201.56,871.1,0
23,0.001096,0.999766,0.014304,0.996925,0.996943,0.003075,0.005491747852752235,203.95,860.9,0
24,0.000814,0.999858,0.013309,0.997232,0.997245,0.002768,0.004090659703724441,205.65,853.8,0
25,0.000598,0.999892,0.013418,0.997284,0.997299,0.002716,0.0028739212644696725,204.93,856.8,1
26,0.000482,0.999932,0.014283,0.997386,0.997402,0.002614,0.001856833726829643,204.49,858.6,1
27,0.000485,0.999932,0.014742,0.997335,0.997347,0.002665,0.001052187556718108,200.87,874.1,0
28,0.00045,0.999943,0.014248,0.997335,0.99735,0.002665,0.0004701016465908071,205.66,853.8,0
29,0.000412,0.999943,0.01442,0.997232,0.997245,0.002768,0.00011789606450170116,204.96,856.7,0
30,0.000386,0.99996,0.014551,0.997335,0.997347,0.002665,0.0,204.17,860.0,0
