epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.393756,0.891476,0.034089,0.990108,0.990097,0.009892,0.018760251503553853,171.03,1026.7,1
2,0.029153,0.991537,0.037589,0.989186,0.989199,0.010814,0.0375,162.7,1079.2,0
3,0.020952,0.993883,0.023186,0.993491,0.993481,0.006509,0.0373821039354983,165.85,1058.7,1
4,0.015283,0.995506,0.020738,0.994465,0.994476,0.005535,0.03702989835340919,163.79,1072.0,1
5,0.013832,0.995979,0.022071,0.99385,0.993849,0.00615,0.03644781244328189,162.12,1083.0,0
6,0.012454,0.996389,0.025128,0.993081,0.993091,0.006919,0.03564316627317036,166.53,1054.3,0
7,0.010544,0.99697,0.02555,0.992722,0.992701,0.007278,0.03462607873553033,170.74,1028.4,0
8,0.010764,0.996759,0.019941,0.994208,0.994199,0.005792,0.03340934029627556,168.77,1040.4,0
9,0.008809,0.997511,0.019179,0.994567,0.994598,0.005433,0.032008252147247764,169.71,1034.6,1
10,0.00853,0.9975,0.018103,0.994875,0.994882,0.005125,0.030440433784851253,164.37,1068.2,1
11,0.008567,0.997591,0.017953,0.995336,0.995358,0.004664,0.02872560143466256,165.91,1058.3,1
12,0.008235,0.997631,0.01836,0.994311,0.994306,0.005689,0.02688532010845421,166.11,1057.0,0
13,0.007092,0.997972,0.016787,0.995797,0.995802,0.004203,0.024942732411659386,165.29,1062.3,1
14,0.005021,0.998565,0.01538,0.996054,0.996066,0.003946,0.022922267511680892,160.65,1092.9,1
15,0.0044,0.99877,0.017303,0.9959,0.995921,0.0041,0.02084933392693702,160.5,1094.0,0
16,0.004733,0.998724,0.013637,0.996515,0.996527,0.003485,0.01875,160.48,1094.1,1
17,0.003169,0.999197,0.015039,0.996669,0.996681,0.003331,0.016650666073062977,160.34,1095.1,1
18,0.003081,0.999112,0.01594,0.996002,0.996016,0.003998,0.014577732488319105,161.32,1088.4,0
19,0.00308,0.99918,0.012528,0.996669,0.996675,0.003331,0.012557267588340623,164.66,1066.3,0
20,0.002208,0.999413,0.015264,0.996822,0.99684,0.003178,0.010614679891545785,164.15,1069.7,1
21,0.001554,0.999544,0.014598,0.996925,0.996941,0.003075,0.008774398565337441,163.52,1073.8,1
22,0.001185,0.999664,0.014767,0.997079,0.997099,0.002921,0.007059566215148747,168.67,1041.0,1
23,0.000981,0.999727,0.01531,0.997027,0.997051,0.002973,0.005491747852752235,170.08,1032.4,0
24,0.000695,0.999823,0.015215,0.997027,0.997043,0.002973,0.004090659703724441,166.11,1057.0,0
25,0.000535,0.999858,0.014828,0.997232,0.997254,0.002768,0.0028739212644696725,161.87,1084.8,1
26,0.000452,0.999892,0.015311,0.997079,0.997099,0.002921,0.001856833726829643,161.92,1084.4,0
27,0.000437,0.99992,0.015583,0.997027,0.997045,0.002973,0.001052187556718108,161.85,1084.8,0
28,0.00045,0.999875,0.015522,0.997335,0.99735,0.002665,0.0004701016465908071,162.81,1078.5,1
29,0.000353,0.999943,0.01555,0.997232,0.997251,0.002768,0.00011789606450170116,162.06,1083.4,0
30,0.000356,0.99992,0.015774,0.997232,0.997249,0.002768,0.0,161.71,1085.8,0
