epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.355391,0.895998,0.044624,0.987597,0.987639,0.012403,0.018760251503553853,211.05,831.9,1
2,0.037115,0.988871,0.036297,0.989749,0.98974,0.010251,0.0375,200.14,877.3,1
3,0.0276,0.991696,0.030078,0.991799,0.991865,0.008201,0.0373821039354983,199.66,879.4,1
4,0.019773,0.994111,0.022997,0.993593,0.993603,0.006407,0.03702989835340919,200.05,877.7,1
5,0.015941,0.995421,0.025369,0.993286,0.993285,0.006714,0.03644781244328189,199.66,879.4,0
6,0.014238,0.99574,0.022831,0.994055,0.99407,0.005945,0.03564316627317036,199.28,881.1,1
7,0.013302,0.995962,0.017653,0.995131,0.995123,0.004869,0.03462607873553033,199.65,879.5,1
8,0.011141,0.996754,0.025132,0.99344,0.993435,0.00656,0.03340934029627556,199.84,878.6,0
9,0.010609,0.996873,0.018965,0.99426,0.994269,0.00574,0.032008252147247764,199.91,878.3,0
10,0.010196,0.997215,0.018877,0.99467,0.994672,0.00533,0.030440433784851253,199.74,879.1,0
11,0.00898,0.997528,0.019594,0.994208,0.994211,0.005792,0.02872560143466256,199.86,878.5,0
12,0.009683,0.997238,0.01658,0.995336,0.995369,0.004664,0.02688532010845421,199.65,879.5,1
13,0.008816,0.997562,0.017245,0.995233,0.995226,0.004767,0.024942732411659386,200.29,876.7,0
14,0.007338,0.998075,0.016415,0.995643,0.995649,0.004357,0.022922267511680892,199.75,879.0,1
15,0.007133,0.998018,0.017924,0.995182,0.995192,0.004818,0.02084933392693702,202.58,866.7,0
16,0.005886,0.998451,0.015367,0.99549,0.995496,0.00451,0.01875,199.41,880.5,0
17,0.004843,0.998753,0.015217,0.995951,0.995958,0.004049,0.016650666073062977,199.62,879.6,1
18,0.004119,0.998935,0.013652,0.996054,0.99606,0.003946,0.014577732488319105,201.46,871.6,1
19,0.003383,0.999186,0.013349,0.996925,0.996951,0.003075,0.012557267588340623,202.69,866.3,1
20,0.002954,0.999277,0.013864,0.996207,0.996226,0.003793,0.010614679891545785,199.37,880.7,0
21,0.002411,0.999493,0.013995,0.996156,0.996186,0.003844,0.008774398565337441,199.14,881.7,0
22,0.001854,0.999613,0.01297,0.997079,0.997104,0.002921,0.007059566215148747,199.95,878.1,1
23,0.001562,0.999692,0.012838,0.996874,0.996889,0.003126,0.005491747852752235,201.59,871.0,0
24,0.001372,0.999784,0.013348,0.996771,0.996796,0.003229,0.004090659703724441,205.99,852.4,0
25,0.0011,0.999766,0.01373,0.996874,0.996894,0.003126,0.0028739212644696725,200.66,875.0,0
26,0.001121,0.999784,0.013504,0.996925,0.99694,0.003075,0.001856833726829643,199.58,879.8,0
27,0.000961,0.999823,0.013923,0.996874,0.996893,0.003126,0.001052187556718108,202.99,865.0,0
28,0.000897,0.999863,0.013814,0.996925,0.996945,0.003075,0.0004701016465908071,204.08,860.4,0
29,0.000834,0.99988,0.013694,0.996925,0.996943,0.003075,0.00011789606450170116,202.13,868.7,0
30,0.000844,0.999875,0.013739,0.996822,0.996845,0.003178,0.0,201.47,871.5,0
