epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.823477,0.751885,0.050002,0.985188,0.985119,0.014812,0.018760251503553853,176.07,997.2,1
2,0.035218,0.98943,0.030697,0.991389,0.991382,0.008611,0.0375,167.39,1049.0,1
3,0.022995,0.993223,0.105357,0.990262,0.990265,0.009738,0.0373821039354983,166.04,1057.5,0
4,0.016393,0.995182,0.033881,0.990621,0.990675,0.009379,0.03702989835340919,163.96,1070.9,0
5,0.013086,0.996304,0.034768,0.993286,0.993291,0.006714,0.03644781244328189,167.08,1050.9,1
6,0.010883,0.996702,0.022532,0.994618,0.994626,0.005382,0.03564316627317036,163.93,1071.1,1
7,0.00959,0.99709,0.017663,0.995387,0.995381,0.004613,0.03462607873553033,166.55,1054.2,1
8,0.009081,0.997443,0.022684,0.994567,0.994575,0.005433,0.03340934029627556,167.01,1051.3,0
9,0.008199,0.997756,0.027097,0.994311,0.994339,0.005689,0.032008252147247764,233.24,752.8,0
10,0.006486,0.998303,0.017525,0.995182,0.995207,0.004818,0.030440433784851253,166.37,1055.4,0
11,0.007534,0.997819,0.021823,0.994567,0.994571,0.005433,0.02872560143466256,165.57,1060.5,0
12,0.007701,0.997841,0.017769,0.995541,0.995544,0.004459,0.02688532010845421,162.6,1079.8,1
13,0.006795,0.998081,0.016384,0.995541,0.995532,0.004459,0.024942732411659386,163.04,1076.9,0
14,0.005615,0.998411,0.017485,0.996207,0.996233,0.003793,0.022922267511680892,169.78,1034.2,1
15,0.004925,0.998673,0.01501,0.995951,0.995988,0.004049,0.02084933392693702,165.79,1059.1,0
16,0.004209,0.998798,0.015362,0.996566,0.99659,0.003434,0.01875,164.06,1070.3,1
17,0.003653,0.999037,0.015817,0.995695,0.995728,0.004305,0.016650666073062977,167.02,1051.3,0
18,0.003169,0.999214,0.015646,0.995695,0.995728,0.004305,0.014577732488319105,177.16,991.1,0
19,0.00241,0.999317,0.01473,0.99672,0.996736,0.00328,0.012557267588340623,173.57,1011.6,1
20,0.002072,0.999459,0.014782,0.996464,0.996481,0.003536,0.010614679891545785,173.9,1009.7,0
21,0.001533,0.999618,0.016305,0.996464,0.996468,0.003536,0.008774398565337441,174.78,1004.6,0
22,0.001216,0.99971,0.015173,0.996822,0.996841,0.003178,0.007059566215148747,172.77,1016.3,1
23,0.001132,0.999732,0.015483,0.996515,0.996522,0.003485,0.005491747852752235,169.64,1035.0,0
24,0.000897,0.999772,0.016395,0.996361,0.996367,0.003639,0.004090659703724441,165.46,1061.2,0
25,0.00079,0.999806,0.015675,0.996515,0.996523,0.003485,0.0028739212644696725,164.82,1065.3,0
26,0.000747,0.999835,0.016813,0.996361,0.996377,0.003639,0.001856833726829643,165.11,1063.4,0
27,0.000614,0.99988,0.016522,0.996669,0.996686,0.003331,0.001052187556718108,164.33,1068.5,0
28,0.000543,0.999897,0.016632,0.996617,0.996634,0.003383,0.0004701016465908071,162.88,1078.0,0
29,0.0006,0.999858,0.016531,0.996771,0.996784,0.003229,0.00011789606450170116,162.81,1078.4,0
30,0.000575,0.999897,0.01665,0.996669,0.996688,0.003331,0.0,162.78,1078.7,0
