epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.182992,0.959695,0.051139,0.987033,0.987047,0.012967,0.018760251503553853,243.36,721.5,1
2,0.043533,0.987664,0.123322,0.961253,0.961197,0.038747,0.0375,228.28,769.2,0
3,0.034382,0.990119,0.029975,0.991441,0.991417,0.008559,0.0373821039354983,217.48,807.4,1
4,0.02597,0.992704,0.026214,0.992312,0.992283,0.007688,0.03702989835340919,216.13,812.4,1
5,0.022738,0.993576,0.029995,0.991133,0.991111,0.008867,0.03644781244328189,222.61,788.8,0
6,0.020435,0.994197,0.021637,0.994413,0.994389,0.005587,0.03564316627317036,222.04,790.8,1
7,0.019189,0.994703,0.021991,0.994362,0.994363,0.005638,0.03462607873553033,225.33,779.2,0
8,0.018378,0.9948,0.025719,0.992927,0.992922,0.007073,0.03340934029627556,223.82,784.5,0
9,0.016924,0.995216,0.027637,0.991748,0.99174,0.008252,0.032008252147247764,223.48,785.7,0
10,0.016296,0.995711,0.02153,0.993593,0.993577,0.006407,0.030440433784851253,222.56,788.9,0
11,0.014817,0.995911,0.022099,0.993696,0.993706,0.006304,0.02872560143466256,222.94,787.6,0
12,0.014799,0.996076,0.026448,0.992415,0.992451,0.007585,0.02688532010845421,222.63,788.7,0
13,0.013588,0.996235,0.020691,0.994362,0.994378,0.005638,0.024942732411659386,222.32,789.8,0
14,0.012724,0.996577,0.023903,0.992876,0.992882,0.007124,0.022922267511680892,238.02,737.7,0
15,0.011966,0.996811,0.017582,0.994875,0.994878,0.005125,0.02084933392693702,228.84,767.3,1
16,0.011023,0.997198,0.018454,0.99467,0.99469,0.00533,0.01875,223.04,787.2,0
17,0.009957,0.99738,0.018053,0.994977,0.994987,0.005023,0.016650666073062977,222.02,790.8,1
18,0.008705,0.997762,0.017512,0.995028,0.995051,0.004972,0.014577732488319105,224.74,781.3,1
19,0.007741,0.997955,0.016123,0.995336,0.995342,0.004664,0.012557267588340623,223.97,784.0,1
20,0.006648,0.99836,0.015049,0.995695,0.995708,0.004305,0.010614679891545785,223.66,785.1,1
21,0.00572,0.998645,0.016309,0.995336,0.995352,0.004664,0.008774398565337441,222.84,787.9,0
22,0.004931,0.998884,0.014674,0.996002,0.996016,0.003998,0.007059566215148747,222.68,788.5,1
23,0.004266,0.999129,0.013916,0.996156,0.996175,0.003844,0.005491747852752235,222.82,788.0,1
24,0.003993,0.99918,0.014311,0.996259,0.996263,0.003741,0.004090659703724441,222.79,788.1,1
25,0.003557,0.999248,0.014119,0.996822,0.996832,0.003178,0.0028739212644696725,238.06,737.5,1
26,0.003361,0.999374,0.013437,0.99672,0.996738,0.00328,0.001856833726829643,234.58,748.5,0
27,0.002978,0.999459,0.01355,0.996412,0.996429,0.003588,0.001052187556718108,221.75,791.8,0
28,0.002867,0.999499,0.01339,0.996617,0.996634,0.003383,0.0004701016465908071,224.86,780.8,0
29,0.002914,0.99947,0.013409,0.996617,0.996633,0.003383,0.00011789606450170116,223.9,784.2,0
30,0.002911,0.999476,0.013358,0.996669,0.996683,0.003331,0.0,227.09,773.2,0
