epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,0.384939,0.917265,0.039981,0.990364,0.990401,0.009636,0.018760251503553853,192.52,912.0,1
2,0.033499,0.990734,0.038227,0.989237,0.989249,0.010763,0.0375,181.82,965.7,0
3,0.028646,0.991861,0.031577,0.990621,0.990666,0.009379,0.0373821039354983,183.77,955.4,1
4,0.020245,0.99439,0.026789,0.992978,0.992984,0.007022,0.03702989835340919,185.82,944.9,1
5,0.018084,0.994869,0.0244,0.99303,0.99303,0.00697,0.03644781244328189,184.68,950.8,1
6,0.016156,0.995558,0.02227,0.99344,0.993428,0.00656,0.03564316627317036,183.75,955.6,1
7,0.015357,0.995546,0.024531,0.993747,0.993745,0.006253,0.03462607873553033,182.06,964.4,1
8,0.014122,0.996116,0.031783,0.992107,0.992097,0.007893,0.03340934029627556,181.81,965.8,0
9,0.013702,0.996218,0.025171,0.992363,0.992385,0.007637,0.032008252147247764,182.04,964.5,0
10,0.013522,0.996253,0.020703,0.994106,0.994101,0.005894,0.030440433784851253,181.8,965.8,1
11,0.012824,0.996577,0.019443,0.994413,0.994417,0.005587,0.02872560143466256,181.14,969.3,1
12,0.011347,0.996896,0.016988,0.995848,0.995844,0.004152,0.02688532010845421,216.54,810.8,1
13,0.010471,0.997323,0.01778,0.995336,0.995358,0.004664,0.024942732411659386,177.06,991.7,0
14,0.010109,0.997261,0.016158,0.995848,0.99586,0.004152,0.022922267511680892,181.33,968.3,1
15,0.008904,0.997597,0.017005,0.995131,0.995144,0.004869,0.02084933392693702,180.75,971.4,0
16,0.007887,0.997967,0.017032,0.995592,0.995595,0.004408,0.01875,183.37,957.5,0
17,0.00686,0.99832,0.016755,0.996054,0.996056,0.003946,0.016650666073062977,182.76,960.7,1
18,0.006151,0.998405,0.016085,0.995695,0.995703,0.004305,0.014577732488319105,182.4,962.6,0
19,0.005916,0.998508,0.013647,0.996566,0.996588,0.003434,0.012557267588340623,181.26,968.7,1
20,0.004771,0.998884,0.015052,0.996259,0.99628,0.003741,0.010614679891545785,181.23,968.8,0
21,0.003887,0.99914,0.013256,0.996156,0.99619,0.003844,0.008774398565337441,181.0,970.1,0
22,0.003324,0.999282,0.013461,0.996822,0.996829,0.003178,0.007059566215148747,181.42,967.8,1
23,0.003079,0.999311,0.012136,0.996874,0.996885,0.003126,0.005491747852752235,182.6,961.6,1
24,0.002803,0.99943,0.012211,0.996669,0.996678,0.003331,0.004090659703724441,183.14,958.7,0
25,0.002423,0.999482,0.012335,0.996822,0.996831,0.003178,0.0028739212644696725,219.63,799.4,0
26,0.002332,0.999561,0.012459,0.996617,0.996632,0.003383,0.001856833726829643,181.18,969.1,0
27,0.002118,0.99959,0.012845,0.996617,0.996638,0.003383,0.001052187556718108,182.13,964.1,0
28,0.002042,0.999618,0.012748,0.99672,0.996738,0.00328,0.0004701016465908071,183.06,959.1,0
29,0.001983,0.999653,0.012679,0.996771,0.996785,0.003229,0.00011789606450170116,185.37,947.2,0
30,0.002016,0.999601,0.012782,0.996925,0.996943,0.003075,0.0,182.37,962.8,1
