epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_error_rate,lr,epoch_time_s,throughput_img_s,is_best
1,1.839831,0.466804,0.212754,0.933576,0.93409,0.066424,0.018956043956043955,16.31,535.7,1
2,0.114898,0.965087,0.132149,0.96074,0.960698,0.03926,0.0375,8.62,1013.0,1
3,0.069026,0.976877,0.134663,0.958741,0.958778,0.041259,0.0373821039354983,8.61,1014.3,0
4,0.047037,0.985577,0.086427,0.973758,0.973631,0.026242,0.03702989835340919,8.61,1014.4,1
5,0.031531,0.990728,0.086744,0.974988,0.975006,0.025012,0.03644781244328189,8.46,1033.1,1
6,0.025491,0.991529,0.116353,0.964225,0.96434,0.035775,0.03564316627317036,8.72,1001.7,0
7,0.01856,0.993933,0.053094,0.984829,0.984774,0.015171,0.03462607873553033,8.41,1039.2,1
8,0.010627,0.99668,0.0718,0.980678,0.980534,0.019322,0.03340934029627556,8.65,1009.8,0
9,0.011841,0.996795,0.065087,0.982061,0.982002,0.017939,0.032008252147247764,8.97,973.7,0
10,0.006997,0.998054,0.066542,0.982625,0.982575,0.017375,0.030440433784851253,8.57,1019.9,0
11,0.012667,0.995994,0.053006,0.985393,0.9854,0.014607,0.02872560143466256,8.72,1001.4,1
12,0.005066,0.998512,0.045663,0.988109,0.988139,0.011891,0.02688532010845421,8.57,1019.6,1
13,0.006823,0.998168,0.045463,0.988161,0.98818,0.011839,0.024942732411659386,8.73,1000.5,1
14,0.00238,0.999199,0.040718,0.989391,0.98943,0.010609,0.022922267511680892,8.52,1025.7,1
15,0.002408,0.999428,0.035776,0.990723,0.990733,0.009277,0.02084933392693702,8.69,1005.2,1
16,0.001074,0.999771,0.035043,0.991287,0.99131,0.008713,0.01875,8.7,1003.9,1
17,0.00047,1.0,0.034925,0.991389,0.991402,0.008611,0.016650666073062977,8.61,1014.3,1
18,0.000618,0.999886,0.039464,0.990313,0.990322,0.009687,0.014577732488319105,8.79,994.1,0
19,0.001301,0.999657,0.035722,0.991953,0.991967,0.008047,0.012557267588340623,8.5,1027.5,1
20,0.000406,1.0,0.034742,0.992158,0.99217,0.007842,0.010614679891545785,8.52,1025.1,1
21,0.000254,1.0,0.03387,0.992312,0.992326,0.007688,0.008774398565337441,8.59,1017.4,1
22,0.000224,1.0,0.034629,0.992158,0.992169,0.007842,0.007059566215148747,8.55,1021.9,0
23,0.000259,1.0,0.034316,0.992312,0.99233,0.007688,0.005491747852752235,8.65,1009.8,1
24,0.00028,1.0,0.033759,0.99262,0.992633,0.00738,0.004090659703724441,8.69,1005.5,1
25,0.00027,1.0,0.033993,0.992363,0.992379,0.007637,0.0028739212644696725,8.46,1032.3,0
26,0.000291,1.0,0.033313,0.992517,0.992535,0.007483,0.001856833726829643,8.49,1028.7,0
27,0.000332,0.999886,0.035677,0.99221,0.992222,0.00779,0.001052187556718108,8.73,1000.7,0
28,0.000248,1.0,0.033503,0.992466,0.992478,0.007534,0.0004701016465908071,8.8,993.1,0
29,0.000244,1.0,0.034146,0.992466,0.992477,0.007534,0.00011789606450170116,8.54,1022.6,0
30,0.000222,1.0,0.033231,0.99262,0.992632,0.00738,0.0,16.22,538.7,0
