run       : eixo4_resnet50_f075_s0
arch      : resnet50 (pretrained=True)  seed=0
manifesto : v3 40f0951659609108...  mask=frac_75_s0
fit/val/test: 131,693 / 19,511 / 83,613 imgs  (10,540 / 2,268 / 6,044 sujeitos)
batch 96 | steps/epoch 1,371 | epochs 30 | warmup 2 ep | early stop patience 5
val 1/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 1/30: train 0.4601/0.8710 | val loss 0.0382 acc 0.9894 f1 0.9895 err 1.0609% * | 131s 1007 img/s
val 2/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 2/30: train 0.0320/0.9903 | val loss 0.0462 acc 0.9862 f1 0.9862 err 1.3838%  | 130s 1009 img/s
val 3/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 3/30: train 0.0242/0.9930 | val loss 0.0231 acc 0.9937 f1 0.9938 err 0.6253% * | 122s 1077 img/s
val 4/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 4/30: train 0.0169/0.9952 | val loss 0.0289 acc 0.9917 f1 0.9917 err 0.8252%  | 122s 1079 img/s
val 5/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 5/30: train 0.0135/0.9962 | val loss 0.0202 acc 0.9945 f1 0.9945 err 0.5484% * | 122s 1079 img/s
val 6/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 6/30: train 0.0110/0.9970 | val loss 0.0174 acc 0.9947 f1 0.9947 err 0.5279% * | 122s 1076 img/s
val 7/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 7/30: train 0.0108/0.9970 | val loss 0.0198 acc 0.9945 f1 0.9945 err 0.5535%  | 122s 1076 img/s
val 8/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 8/30: train 0.0091/0.9974 | val loss 0.0177 acc 0.9951 f1 0.9951 err 0.4920% * | 123s 1072 img/s
val 9/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 9/30: train 0.0087/0.9974 | val loss 0.0181 acc 0.9954 f1 0.9954 err 0.4613% * | 122s 1077 img/s
val 10/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 10/30: train 0.0081/0.9978 | val loss 0.0239 acc 0.9940 f1 0.9940 err 0.5997%  | 123s 1073 img/s
val 11/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 11/30: train 0.0070/0.9979 | val loss 0.0236 acc 0.9932 f1 0.9932 err 0.6765%  | 124s 1059 img/s
val 12/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 12/30: train 0.0073/0.9979 | val loss 0.0222 acc 0.9940 f1 0.9940 err 0.6048%  | 123s 1070 img/s
val 13/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 13/30: train 0.0069/0.9980 | val loss 0.0208 acc 0.9947 f1 0.9948 err 0.5279%  | 127s 1036 img/s
val 14/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 14/30: train 0.0051/0.9985 | val loss 0.0169 acc 0.9957 f1 0.9958 err 0.4254% * | 128s 1032 img/s
val 15/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 15/30: train 0.0035/0.9991 | val loss 0.0190 acc 0.9948 f1 0.9948 err 0.5177%  | 133s 986 img/s
val 16/30:   0%|          | 0/102 [00:00<?, ?it/s]
