run       : eixo4_resnet50_f100_s0
arch      : resnet50 (pretrained=True)  seed=0
manifesto : v3 40f0951659609108...  mask=None
fit/val/test: 175,591 / 19,511 / 83,613 imgs  (11,805 / 2,268 / 6,044 sujeitos)
batch 96 | steps/epoch 1,829 | epochs 30 | warmup 2 ep | early stop patience 5
val 1/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 1/30: train 0.3982/0.8883 | val loss 0.0386 acc 0.9891 f1 0.9891 err 1.0866% * | 168s 1043 img/s
val 2/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 2/30: train 0.0285/0.9918 | val loss 0.0606 acc 0.9823 f1 0.9824 err 1.7682%  | 161s 1093 img/s
val 3/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 3/30: train 0.0218/0.9938 | val loss 0.0288 acc 0.9925 f1 0.9925 err 0.7483% * | 161s 1092 img/s
val 4/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 4/30: train 0.0154/0.9955 | val loss 0.0188 acc 0.9947 f1 0.9947 err 0.5279% * | 161s 1094 img/s
val 5/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 5/30: train 0.0126/0.9963 | val loss 0.0212 acc 0.9941 f1 0.9940 err 0.5945%  | 161s 1093 img/s
val 6/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 6/30: train 0.0101/0.9972 | val loss 0.0185 acc 0.9949 f1 0.9949 err 0.5125% * | 161s 1093 img/s
val 7/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 7/30: train 0.0118/0.9966 | val loss 0.0223 acc 0.9945 f1 0.9945 err 0.5484%  | 161s 1094 img/s
val 8/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 8/30: train 0.0101/0.9972 | val loss 0.0219 acc 0.9946 f1 0.9946 err 0.5382%  | 160s 1094 img/s
val 9/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 9/30: train 0.0095/0.9972 | val loss 0.0191 acc 0.9945 f1 0.9945 err 0.5484%  | 161s 1093 img/s
val 10/30:   0%|          | 0/102 [00:00<?, ?it/s]
